ID	Phylogeny	Species
AB447493	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma cf. varani
AB447628	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB447633	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB447687	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB447711	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
AB447715	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13	uncultured bacterium
AB447737	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB470962	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	Clostridium sp. r54
AB470965	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	Clostridium sp. r22
AB476175	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB476177	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476181	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB476182	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476187	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476189	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB476200	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476203	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;Porticoccus	uncultured bacterium
AB476220	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476228	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB476255	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured bacterium
AB476279	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured bacterium
AB476289	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
AB480557	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. UR1
AB480558	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Cytauxzoon;	Cytauxzoon sp. UR1
AB486039	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486133	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB486285	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486303	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486306	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486342	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486450	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486457	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486566	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486591	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486592	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486603	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486624	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486633	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486669	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486688	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486717	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486793	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB486831	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486844	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB486884	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB486927	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	uncultured bacterium
AB486962	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487024	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB487053	Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Fonticella	uncultured bacterium
AB487189	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487211	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	uncultured bacterium
AB487278	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB487282	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB487291	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487292	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487300	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487325	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487373	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487574	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487607	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487632	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB487641	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487691	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487715	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487835	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487842	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB487897	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB487900	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB487911	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
AB487969	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB488092	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB488133	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB488255	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB488310	Bacteria;Firmicutes;Clostridia;Clostridiales;Oxobacteraceae;Oxobacter	uncultured bacterium
AB488345	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	uncultured bacterium
AB491395	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
AB491851	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured actinobacterium
AB495251	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	Cocleimonas flava
AB504915	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured bacterium
AB504918	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
AB511011	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB511012	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB511013	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB511014	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB511015	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB511016	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB514659	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured bacterium
AB515310	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria equi
AB515313	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria equi
AB515315	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;	Theileria equi
AB525442	Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;uncultured	uncultured bacterium
AB530223	Bacteria;Myxococcota;Polyangia;VHS-B3-70;;	uncultured bacterium
AB530227	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured bacterium
AB533955	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
AB538429	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 15	Clostridium cochlearium
AB546066	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Trichloromonas	uncultured bacterium
AB548599	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	Mycobacterium abscessus
